Purchase Date,Roaster Name,Roaster City/State,Roaster Country,Coffee Name,Coffee Varietals 1,Coffee Varietals 2,Coffee Varietals 3,Coffee Origin Region,Coffee Origin Country,Farm,Producers,Altitude (MASL),Process,Roast Level,Tasting Notes 1,Tasting Notes 2,Tasting Notes 3,Tasting Notes 4,Weight (g),Price (USD),$ per 100g,Drunk as
12/28/2025,Passenger Coffee,"Lancaster, PA",USA,Israel Hernandez,Geisha,,,Tolima,Colombia,,Israel Hernandez,1830,Washed,Light,Florals,Vanilla,Citrus,,250,33.25,13.3,Pour-Over
12/28/2025,Passenger Coffee,"Lancaster, PA",USA,Cusco,Blend,,,Apaneca,El Salvador,,Carlos and Julie Batres,,Washed,Light,Clementine,Cocoa,Toasted Nuts,,250,19.8,7.9,Espresso
12/28/2025,Passenger Coffee,"Lancaster, PA",USA,Montecarlos,Blend,,,Cusco,Peru,Smallholder Farmers of La Convención,,,Washed,Light,Chocolate,Marzipan,Red Fruit,,250,20.25,8.1,Espresso
12/28/2025,Passenger Coffee,"Lancaster, PA",USA,Ivan Gutierrez,SL28,,,San Marcos de Tarrazu,Costa Rica,,Ivan Gutierrez,1960,Washed,Light,Toffee,Cranberry,Citrus,,250,48.5,19.4,Pour-Over
12/28/2025,Guido Coffee,Bucharest,Romania,La Prosperidad,Geisha,,,Cajamarca,Peru,Cooperativa La Prosperidad,,1800,Washed,Light,Jasmine,Apricot,White Tea,,200,17.27,8.6,Pour-Over
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13513,,,,,,,,,
