Purchase Date,Roaster Name,Roaster City/State,Roaster Country,Coffee Name,Coffee Varietals 1,Coffee Varietals 2,Coffee Varietals 3,Coffee Origin Region,Coffee Origin Country,Farm,Producers,Altitude (MASL),Process,Roast Level,Tasting Notes 1,Tasting Notes 2,Tasting Notes 3,Tasting Notes 4,Weight (g),Price (USD),$ per 100g,Drunk as
4/14/2024,September Coffee,Ottawa,Canada,Pink Lemonade,Pink Bourbon,,,Huila,Colombia,La Muralla,Various Producers,1900,Washed,Light,Blood Orange,Black Tea,Lemonade,,,,,Pour-Over
4/14/2024,September Coffee,Ottawa,Canada,Daterra Milk Espresso,Peaberry,,,Cerrado,Brazil,Daterra,,1150,Natural,Medium,Rich Chocolate,Walnut,Nougat,,,,,Espresso
11/26/2024,Lilo Coffee,Osaka,Japan,Finca Villa Maria,Geisha,,,Huila,Colombia,Finca Villa Maria,,1800,Infused Fermentation,Light,Jasmine,Lemon Candy,Orange,Yuzu,,,,Pour-Over
5/29/2024,Ceremony Coffee,"Bethesda, MD",USA,Thesis,Caturra,Bourbon,Catui,Catui,Blends,,,1600,Washed,Light-Medium,Chocolate Chip,Cookie,Brown Sugar,Sweet,,,,Espresso
5/29/2024,Ceremony Coffee,"Bethesda, MD",USA,Antithesis,Catui,Typica,,,Blends,,,,Washed,Dark,Dark Chocolate,Molasses,Creamy,,,,,Espresso
9/14/2024,Ceremony Coffee,"Bethesda, MD",USA,Nicaragua El Diablo,Caturra,Catui,Catimor,Jinotega,Nicaragua,,,1200,Washed,Light-Medium,Date,Chocolate Malt,Pecan,,,,,Pour-Over
3/1/2024,Ceremony Coffee,"Bethesda, MD",USA,Peru Pangoa,,,,,Peru,,,,Washed,Light-Medium,Dried Apricot,Chocolate Malt,Wildflower Honey,,,,,Pour-Over
3/1/2024,Ceremony Coffee,"Bethesda, MD",USA,Peru Cenfrocafe,Caturra,Typica,,Cajamarca,Peru,,,1700,Washed,Light-Medium,Milk Chocolate,Hazelnut,Creamy,,,,,Pour-Over
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
